Position,Track Name,Artist,URL,Date,trackID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cases
30,Lonely (with benny blanco),Justin Bieber,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q,2020-11-19,4y4spB9m0Q6026KfkAvy9Q,0.631,0.239,11,-7.071000000000001,0,0.0398,0.8640000000000001,0.0,0.11599999999999999,0.0927,79.859,149297,4,57061735.0
46,Lonely (with benny blanco),Justin Bieber,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q,2020-11-26,4y4spB9m0Q6026KfkAvy9Q,0.631,0.239,11,-7.071000000000001,0,0.0398,0.8640000000000001,0.0,0.11599999999999999,0.0927,79.859,149297,4,61139959.0
21,No Eres La Oficial,David Santos,https://open.spotify.com/track/7LYWPZL216dyiN02mjefro,2020-11-12,7LYWPZL216dyiN02mjefro,0.595,0.728,10,-6.6770000000000005,0,0.0471,0.345,1.1400000000000001e-05,0.109,0.7140000000000001,126.919,200450,4,52914392.0
25,No Eres La Oficial,David Santos,https://open.spotify.com/track/7LYWPZL216dyiN02mjefro,2020-11-19,7LYWPZL216dyiN02mjefro,0.595,0.728,10,-6.6770000000000005,0,0.0471,0.345,1.1400000000000001e-05,0.109,0.7140000000000001,126.919,200450,4,57061735.0
49,No Eres La Oficial,David Santos,https://open.spotify.com/track/7LYWPZL216dyiN02mjefro,2020-11-26,7LYWPZL216dyiN02mjefro,0.595,0.728,10,-6.6770000000000005,0,0.0471,0.345,1.1400000000000001e-05,0.109,0.7140000000000001,126.919,200450,4,61139959.0
22,Di Persimpangan Dilema,Terry,https://open.spotify.com/track/5PU8ZFAGNJeWYVBh8w5msX,2020-11-12,5PU8ZFAGNJeWYVBh8w5msX,0.596,0.42700000000000005,11,-7.614,1,0.0566,0.23,0.0,0.105,0.16,133.921,254414,4,52914392.0
35,Di Persimpangan Dilema,Terry,https://open.spotify.com/track/5PU8ZFAGNJeWYVBh8w5msX,2020-11-19,5PU8ZFAGNJeWYVBh8w5msX,0.596,0.42700000000000005,11,-7.614,1,0.0566,0.23,0.0,0.105,0.16,133.921,254414,4,57061735.0
25,Took Her To The O,King Von,https://open.spotify.com/track/7fEoXCZTZFosUFvFQg1BmW,2020-11-12,7fEoXCZTZFosUFvFQg1BmW,0.82,0.5920000000000001,1,-7.002000000000001,1,0.29,0.0149,4.71e-06,0.121,0.4,159.98,196180,4,52914392.0
26,Huyu Suyu,emir taha,https://open.spotify.com/track/67VXzMGtIrbj52tB6D4djH,2020-11-12,67VXzMGtIrbj52tB6D4djH,0.7440000000000001,0.37200000000000005,5,-12.749,0,0.141,0.478,0.0009289999999999999,0.284,0.326,155.989,153972,4,52914392.0
24,Huyu Suyu,emir taha,https://open.spotify.com/track/67VXzMGtIrbj52tB6D4djH,2020-11-19,67VXzMGtIrbj52tB6D4djH,0.7440000000000001,0.37200000000000005,5,-12.749,0,0.141,0.478,0.0009289999999999999,0.284,0.326,155.989,153972,4,57061735.0
32,Huyu Suyu,emir taha,https://open.spotify.com/track/67VXzMGtIrbj52tB6D4djH,2020-11-26,67VXzMGtIrbj52tB6D4djH,0.7440000000000001,0.37200000000000005,5,-12.749,0,0.141,0.478,0.0009289999999999999,0.284,0.326,155.989,153972,4,61139959.0
25,Huyu Suyu,emir taha,https://open.spotify.com/track/67VXzMGtIrbj52tB6D4djH,2020-12-03,67VXzMGtIrbj52tB6D4djH,0.7440000000000001,0.37200000000000005,5,-12.749,0,0.141,0.478,0.0009289999999999999,0.284,0.326,155.989,153972,4,65368134.0
33,Huyu Suyu,emir taha,https://open.spotify.com/track/67VXzMGtIrbj52tB6D4djH,2020-12-10,67VXzMGtIrbj52tB6D4djH,0.7440000000000001,0.37200000000000005,5,-12.749,0,0.141,0.478,0.0009289999999999999,0.284,0.326,155.989,153972,4,70564179.0
28,A92 x Fumez The Engineer - Plugged In Freestyle,Fumez The Engineer,https://open.spotify.com/track/0goOUCNL6MYrqSVvGhvsxw,2020-11-12,0goOUCNL6MYrqSVvGhvsxw,0.856,0.42700000000000005,2,-13.297,1,0.365,0.0958,0.0,0.1,0.774,144.118,240000,4,52914392.0
29,A92 x Fumez The Engineer - Plugged In Freestyle,Fumez The Engineer,https://open.spotify.com/track/0goOUCNL6MYrqSVvGhvsxw,2020-11-19,0goOUCNL6MYrqSVvGhvsxw,0.856,0.42700000000000005,2,-13.297,1,0.365,0.0958,0.0,0.1,0.774,144.118,240000,4,57061735.0
31,A92 x Fumez The Engineer - Plugged In Freestyle,Fumez The Engineer,https://open.spotify.com/track/0goOUCNL6MYrqSVvGhvsxw,2020-11-26,0goOUCNL6MYrqSVvGhvsxw,0.856,0.42700000000000005,2,-13.297,1,0.365,0.0958,0.0,0.1,0.774,144.118,240000,4,61139959.0
42,A92 x Fumez The Engineer - Plugged In Freestyle,Fumez The Engineer,https://open.spotify.com/track/0goOUCNL6MYrqSVvGhvsxw,2020-12-03,0goOUCNL6MYrqSVvGhvsxw,0.856,0.42700000000000005,2,-13.297,1,0.365,0.0958,0.0,0.1,0.774,144.118,240000,4,65368134.0
47,A92 x Fumez The Engineer - Plugged In Freestyle,Fumez The Engineer,https://open.spotify.com/track/0goOUCNL6MYrqSVvGhvsxw,2020-12-10,0goOUCNL6MYrqSVvGhvsxw,0.856,0.42700000000000005,2,-13.297,1,0.365,0.0958,0.0,0.1,0.774,144.118,240000,4,70564179.0
29,You’re Mines Still (feat. Drake),Yung Bleu,https://open.spotify.com/track/7E2C5rBLpCKwQlhJPVFBRS,2020-11-12,7E2C5rBLpCKwQlhJPVFBRS,0.575,0.609,5,-4.88,0,0.121,0.317,0.0,0.105,0.33899999999999997,83.00399999999999,226220,4,52914392.0
30,Canceled,Larray,https://open.spotify.com/track/3VxOgQ9o1aKonFx4d5lPR3,2020-11-12,3VxOgQ9o1aKonFx4d5lPR3,0.647,0.8029999999999999,11,-5.36,0,0.389,0.13699999999999998,4.06e-06,0.0952,0.55,82.10799999999999,173880,4,52914392.0
44,Canceled,Larray,https://open.spotify.com/track/3VxOgQ9o1aKonFx4d5lPR3,2020-11-19,3VxOgQ9o1aKonFx4d5lPR3,0.647,0.8029999999999999,11,-5.36,0,0.389,0.13699999999999998,4.06e-06,0.0952,0.55,82.10799999999999,173880,4,57061735.0
31,Producer Man,Lyn Lapid,https://open.spotify.com/track/5BArc3UpONi77FMkNT4LYU,2020-11-12,5BArc3UpONi77FMkNT4LYU,0.66,0.639,10,-5.364,0,0.223,0.129,0.0,0.256,0.75,173.99400000000003,141673,4,52914392.0
23,Producer Man,Lyn Lapid,https://open.spotify.com/track/5BArc3UpONi77FMkNT4LYU,2020-11-19,5BArc3UpONi77FMkNT4LYU,0.66,0.639,10,-5.364,0,0.223,0.129,0.0,0.256,0.75,173.99400000000003,141673,4,57061735.0
39,Qué Le Voy a Hacer,Skechi,https://open.spotify.com/track/5K4T7KJlGKoiwKA2nuQCjy,2020-11-12,5K4T7KJlGKoiwKA2nuQCjy,0.794,0.664,9,-7.599,1,0.146,0.526,0.0,0.11800000000000001,0.863,101.963,231176,4,52914392.0
33,Qué Le Voy a Hacer,Skechi,https://open.spotify.com/track/5K4T7KJlGKoiwKA2nuQCjy,2020-11-19,5K4T7KJlGKoiwKA2nuQCjy,0.794,0.664,9,-7.599,1,0.146,0.526,0.0,0.11800000000000001,0.863,101.963,231176,4,57061735.0
42,Future,Red Velvet,https://open.spotify.com/track/2gvlPqqngL3BppFCwLXnVc,2020-11-12,2gvlPqqngL3BppFCwLXnVc,0.7170000000000001,0.868,7,-3.073,1,0.04,0.43799999999999994,0.0,0.14800000000000002,0.552,100.005,215880,4,52914392.0
40,Future,Red Velvet,https://open.spotify.com/track/2gvlPqqngL3BppFCwLXnVc,2020-11-19,2gvlPqqngL3BppFCwLXnVc,0.7170000000000001,0.868,7,-3.073,1,0.04,0.43799999999999994,0.0,0.14800000000000002,0.552,100.005,215880,4,57061735.0
44,Future,Red Velvet,https://open.spotify.com/track/2gvlPqqngL3BppFCwLXnVc,2020-11-26,2gvlPqqngL3BppFCwLXnVc,0.7170000000000001,0.868,7,-3.073,1,0.04,0.43799999999999994,0.0,0.14800000000000002,0.552,100.005,215880,4,61139959.0
