,Position,Track Name,Artist,Date,trackID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
233,47,Benjamins 3,Rozz Kalliope,2020-01-02,3F1vlhA0ISnqXJMOXUZP7V,0.817,0.719,0,-6.826,0,0.146,0.364,0.0,0.21,0.461,140.991,182010,4
234,48,everything i wanted,Billie Eilish,2020-01-02,3ZCTVFBt2Brf31RLEnCkWJ,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,245426,4
235,47,everything i wanted,Billie Eilish,2020-01-30,3ZCTVFBt2Brf31RLEnCkWJ,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,245426,4
236,49,Yellow Hearts,Ant Saunders,2020-01-02,2W4yABdLc4Jnds67Poi5Nl,0.866,0.438,7,-8.943,1,0.0719,0.177,0.0,0.0743,0.695,129.039,223258,4
237,50,Com ou Sem Mim - Ao Vivo,Gustavo Mioto,2020-01-02,2BU6XXSG8SqiptRuj6EiLA,0.605,0.72,7,-3.616,0,0.0481,0.159,0.0,0.956,0.296,141.954,201856,4
238,3,Blueberry Fergo,Lil Monet,2020-01-09,6CrMU5zXlKNGsipNhiu7hN,0.831,0.405,0,-10.578,1,0.0776,0.0171,3.3e-06,0.104,0.292,98.992,141997,4
239,8,Kraazy,Likybo,2020-01-09,3s2Qd1rsWqbvOoxpFTRp8D,0.689,0.701,6,-9.477,0,0.237,0.314,0.0,0.123,0.37,94.982,151579,4
240,2,Kraazy,Likybo,2020-01-16,3s2Qd1rsWqbvOoxpFTRp8D,0.689,0.701,6,-9.477,0,0.237,0.314,0.0,0.123,0.37,94.982,151579,4
241,4,Kraazy,Likybo,2020-01-23,3s2Qd1rsWqbvOoxpFTRp8D,0.689,0.701,6,-9.477,0,0.237,0.314,0.0,0.123,0.37,94.982,151579,4
242,6,Kraazy,Likybo,2020-01-30,3s2Qd1rsWqbvOoxpFTRp8D,0.689,0.701,6,-9.477,0,0.237,0.314,0.0,0.123,0.37,94.982,151579,4
243,7,Kraazy,Likybo,2020-02-06,3s2Qd1rsWqbvOoxpFTRp8D,0.689,0.701,6,-9.477,0,0.237,0.314,0.0,0.123,0.37,94.982,151579,4
244,31,Kraazy,Likybo,2020-02-13,3s2Qd1rsWqbvOoxpFTRp8D,0.689,0.701,6,-9.477,0,0.237,0.314,0.0,0.123,0.37,94.982,151579,4
245,12,Sinning With You,Sam Hunt,2020-01-09,7aP3ZnCrfQLFBFK4RiXpG2,0.744,0.505,4,-5.943,1,0.0333,0.609,0.0,0.247,0.294,122.015,196453,4
246,48,Sinning With You,Sam Hunt,2020-01-16,7aP3ZnCrfQLFBFK4RiXpG2,0.744,0.505,4,-5.943,1,0.0333,0.609,0.0,0.247,0.294,122.015,196453,4
247,13,fine today (Nanti Kita Cerita Tentang Hari Ini - Original Motion Picture Soundtrack),Ardhito Pramono,2020-01-09,6EviFqpmuvHfQaExMKmt0A,0.557,0.303,7,-13.967,1,0.0361,0.873,0.199,0.113,0.196,51.533,194153,4
248,11,fine today (Nanti Kita Cerita Tentang Hari Ini - Original Motion Picture Soundtrack),Ardhito Pramono,2020-01-16,6EviFqpmuvHfQaExMKmt0A,0.557,0.303,7,-13.967,1,0.0361,0.873,0.199,0.113,0.196,51.533,194153,4
249,9,fine today (Nanti Kita Cerita Tentang Hari Ini - Original Motion Picture Soundtrack),Ardhito Pramono,2020-01-23,6EviFqpmuvHfQaExMKmt0A,0.557,0.303,7,-13.967,1,0.0361,0.873,0.199,0.113,0.196,51.533,194153,4
250,15,fine today (Nanti Kita Cerita Tentang Hari Ini - Original Motion Picture Soundtrack),Ardhito Pramono,2020-01-30,6EviFqpmuvHfQaExMKmt0A,0.557,0.303,7,-13.967,1,0.0361,0.873,0.199,0.113,0.196,51.533,194153,4
251,13,fine today (Nanti Kita Cerita Tentang Hari Ini - Original Motion Picture Soundtrack),Ardhito Pramono,2020-02-06,6EviFqpmuvHfQaExMKmt0A,0.557,0.303,7,-13.967,1,0.0361,0.873,0.199,0.113,0.196,51.533,194153,4
252,44,fine today (Nanti Kita Cerita Tentang Hari Ini - Original Motion Picture Soundtrack),Ardhito Pramono,2020-02-13,6EviFqpmuvHfQaExMKmt0A,0.557,0.303,7,-13.967,1,0.0361,0.873,0.199,0.113,0.196,51.533,194153,4
